instruction,response,text
Give the most important information about Deborah De Robertis.,"Deborah De Robertis is a Luxembourgish-French performance artist, born on February 12, 1984 in Luxembourg. She grew up on Lampertsberg and studied at the École de recherche graphique in Brussels.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give the most important information about Deborah De Robertis. 

###Response: Deborah De Robertis is a Luxembourgish-French performance artist, born on February 12, 1984 in Luxembourg. She grew up on Lampertsberg and studied at the École de recherche graphique in Brussels."
What is the most famous performance of Deborah De Robertis?,"The most famous performance of Deborah De Robertis is 'Miroir de l'origine', where she allowed herself to be photographed in front of works of art and museums without a bexelche, as a reference to Gustave Courbet's tableau 'L'origine du monde'.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the most famous performance of Deborah De Robertis? 

###Response: The most famous performance of Deborah De Robertis is 'Miroir de l'origine', where she allowed herself to be photographed in front of works of art and museums without a bexelche, as a reference to Gustave Courbet's tableau 'L'origine du monde' ."
"What is the background of the performance of Deborah De Robertis in Lourdes on August 31, 2018?","On August 31, 2018, Deborah De Robertis posed in Lourdes in front of the Grotto of Massabielle, wearing just a blue veil that covered her head and back. She was arrested and tried for 'sexual exhibition'.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the background of the performance of Deborah De Robertis in Lourdes on August 31, 2018? 

###Response: On August 31, 2018, Deborah De Robertis posed in Lourdes in front of the Grotto of Massabielle, wearing just a blue veil that covered her head and back. She was arrested and tried for 'sexual exhibition'."
"What was Deborah De Robertis doing at the Center Pompidou-Metz on May 6, 2024?","On May 6, 2024, Deborah De Robertis hung up and took with her an embroidery by Annette Messager with the title 'Je pense donc je suce' in the Center Pompidou-Metz, which was hung there as part of the exhibition 'Lacan'.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What did Deborah De Robertis do on May 6, 2024 at the Center Pompidou-Metz? 

###Response: On May 6, 2024, Deborah De Robertis hung up and took with her an embroidery by Annette Messager entitled 'Je pense donc je suce' at the Center Pompidou-Metz, which was part of the exhibition 'Lacan' there hung out"
"How was Deborah De Robertis charged in court on May 29, 2024?","On 29 May 2024, Deborah De Robertis was charged in court for 'degradations de bien culturels commis en réunion' and 'vol d'un bien culturel en réunion', after her action at the Center Pompidou-Metz on 6 May 2024.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How was Deborah De Robertis charged in court on May 29, 2024? 

###Response: On May 29, 2024, Deborah De Robertis was charged in court for 'dégradations de bien culturels commis en réunion' and 'vol d'un bien culturel en réunion', after her action at the Center Pompidou-Metz May 6, 2024."
"Give me the name of the Pope who was consecrated Pope on December 4, 963.",Leo VIII.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the Pope who was consecrated as Pope on December 4, 963. 

###Response: Leo VIII."
What was the reason why Johannes XII. was deployed?,John XII. was dismissed for unworthiness.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the reason why Johannes XII. was deployed? 

###Response: John XII. was dismissed for unworthiness."
How was Leo VIII. consecrated bishop of Rome?,"Leo VIII. was ordained in one consecutive day as an ostiarius, lector, exorcist, acolyte, subdeacon, deacon, priest and then bishop of Rome.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How was Leo VIII. consecrated bishop of Rome? 

###Response: Leo VIII. was ordained in one consecutive day as an ostiarius, lector, exorcist, acolyte, subdeacon, deacon, priest and then bishop of Rome."
What about John XII. happened after Leo VIII. was deployed?,"John XII. brought himself back to the throne, but could not benefit from his triumph for long, because he already died on May 14, 964.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What about Johannes XII. happened after Leo VIII. was deployed? 

###Response: John XII. brought himself back to the throne, but could not benefit from his triumph for long, because he already died on May 14, 964."
How was Leo VIII. for the second time to the Pope?,"Leo VIII. became pope for the second time after Otto I had deposed Benedict V, and Leo VIII. came back to the throne.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How was Leo VIII. for the second time to the Pope? 

###Response: Leo VIII. became pope for the second time after Otto I had deposed Benedict V, and Leo VIII. came back to the throne."
We are the main town of the municipality Käerjeng.,Niedderkärjeng is the capital of the municipality Kärjeng.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the main town of the municipality Käerjeng. 

###Response: Niedderkäerjeng is the main town of the municipality Käerjeng."
Where is Niedderkärjeng?,Niedderkäerjeng is located in the southwest of Luxembourg.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Where is Nidderkärjeng located? 

###Response: Nidderkäerjeng is located in the southwest of Luxembourg."
What is the history of Niedderkärjeng?,"The history of the town is closely rooted with the history of the Luxembourg steel industry. Just like the other municipalities and towns from the south, Niedderkäerjeng has also had to bear the brunt of the recession in the steel sector, not least because many residents want to earn their living at the smelter.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the history of Niedderkärjeng? 

###Response: The history of the town is closely rooted with the history of the Luxembourg steel industry. Just like the other municipalities and towns from the south, Niedderkäerjeng has also had to bear the brunt of the recession in the steel sector, not least because many residents want to earn their living at the smelter."
"What happened on May 10, 1940 in Kärjeng?","On May 10, 1940, clashes broke out between the Wehrmacht and French troops in Kärjeng. In doing so, nine spahis from General P. Jouffrault's 1st spahis brigade lost their lives.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened on May 10, 1940 in Kärjeng? 

###Response: On May 10, 1940, clashes broke out between the Wehrmacht and French troops in Kärjeng. In doing so, nine spahis from General P. Jouffrault's 1st spahis brigade lost their lives."
"What happened on August 9, 2019 in Niderkäerjeng?","On August 9, 2019, a tornado swept through Niedderkärjeng, which caused a lot of damage.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened on August 9, 2019 in Niderkärjeng? 

###Response: On August 9, 2019, a tornado swept through Niedderkärjeng, which caused a lot of damage."
Give me the title of Anne Schroeder's documentary from 2001.,History(s) of youth(s),"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the title of the documentary by Anne Schroeder from 2001. 

###Response: Histoire(s) de jeunesse(s)"
When did the documentary 'Histoire(s) de jeunesse(s)' premiere?,"On April 23, 2001 at the Utopia cinema.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did the documentary 'Histoire(s) de jeunesse(s)' premiere? 

###Response: April 23, 2001 at the Utopia cinema."
