instruction,response,text
Ginn déi wichtegst Informatiounen iwwer d'Deborah De Robertis.,"D'Deborah De Robertis ass eng lëtzebuergesch-franséisch Performance-Kënschtlerin, gebuer den 12. Februar 1984 zu Lëtzebuerg. Si ass um Lampertsbierg opgewuess an huet op der École de recherche graphique zu Bréissel studéiert.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn déi wichtegst Informatiounen iwwer d'Deborah De Robertis.

###Response: D'Deborah De Robertis ass eng lëtzebuergesch-franséisch Performance-Kënschtlerin, gebuer den 12. Februar 1984 zu Lëtzebuerg. Si ass um Lampertsbierg opgewuess an huet op der École de recherche graphique zu Bréissel studéiert."
Wat ass déi bekanntst Performance vun der Deborah De Robertis?,"Déi bekanntst Performance vun der Deborah De Robertis ass 'Miroir de l'origine', wou si sech viru Konschtwierker a Muséeën ouni Béxelche fotograféiere gelooss huet, als Referenz op dem Gustave Courbet säin Tableau 'L'origine du monde'.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass déi bekanntst Performance vun der Deborah De Robertis?

###Response: Déi bekanntst Performance vun der Deborah De Robertis ass 'Miroir de l'origine', wou si sech viru Konschtwierker a Muséeën ouni Béxelche fotograféiere gelooss huet, als Referenz op dem Gustave Courbet säin Tableau 'L'origine du monde'."
Wat ass den Hannergrond vun der Performance vun der Deborah De Robertis zu Lourdes den 31. August 2018?,"Den 31. August 2018 huet d'Deborah De Robertis zu Lourdes virun der Grott vu Massabielle poséiert, mat just engem bloe Voile un, deen de Kapp an de Réck bedeckt hat. Si gouf festgeholl a krut de Prozess wéinst 'exhibition sexuelle' gemaacht.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass den Hannergrond vun der Performance vun der Deborah De Robertis zu Lourdes den 31. August 2018?

###Response: Den 31. August 2018 huet d'Deborah De Robertis zu Lourdes virun der Grott vu Massabielle poséiert, mat just engem bloe Voile un, deen de Kapp an de Réck bedeckt hat. Si gouf festgeholl a krut de Prozess wéinst 'exhibition sexuelle' gemaacht."
Wat huet d'Deborah De Robertis den 6. Mee 2024 am Centre Pompidou-Metz gemaacht?,"Den 6. Mee 2024 huet d'Deborah De Robertis am Centre Pompidou-Metz eng Broderie vun der Annette Messager mam Titel 'Je pense donc je suce' ofgehaang a mattgeholl, déi am Kader vun der Ausstellung 'Lacan' do aushong.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat huet d'Deborah De Robertis den 6. Mee 2024 am Centre Pompidou-Metz gemaacht?

###Response: Den 6. Mee 2024 huet d'Deborah De Robertis am Centre Pompidou-Metz eng Broderie vun der Annette Messager mam Titel 'Je pense donc je suce' ofgehaang a mattgeholl, déi am Kader vun der Ausstellung 'Lacan' do aushong."
Wéi gouf d'Deborah De Robertis den 29. Mee 2024 viru Geriicht ugeklot?,"Den 29. Mee 2024 gouf d'Deborah De Robertis viru Geriicht ugeklot wéinst 'dégradations de bien culturels commis en réunion' a 'vol d'un bien culturel en réunion', no hirer Aktioun am Centre Pompidou-Metz den 6. Mee 2024.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéi gouf d'Deborah De Robertis den 29. Mee 2024 viru Geriicht ugeklot?

###Response: Den 29. Mee 2024 gouf d'Deborah De Robertis viru Geriicht ugeklot wéinst 'dégradations de bien culturels commis en réunion' a 'vol d'un bien culturel en réunion', no hirer Aktioun am Centre Pompidou-Metz den 6. Mee 2024."
Ginn mir den Numm vum Poopst deen den 4. Dezember 963 zum Poopst geweit gouf.,De Leo VIII.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir den Numm vum Poopst deen den 4. Dezember 963 zum Poopst geweit gouf.

###Response: De Leo VIII."
Wat war de Grond firwat de Johannes XII. ofgesat gouf?,De Johannes XII. gouf wéinst Onwierdegkeet ofgesat.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat war de Grond firwat de Johannes XII. ofgesat gouf?

###Response: De Johannes XII. gouf wéinst Onwierdegkeet ofgesat."
Wéi gouf de Leo VIII. zum Bëschof vu Roum geweit?,"De Leo VIII. gouf an engem Dag hannereneen zum Ostiarius, Lekter, Exorzist, Akolyth, Subdiakon, Diakon, Paschtouer an dunn zum Bëschof vu Roum geweit.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéi gouf de Leo VIII. zum Bëschof vu Roum geweit?

###Response: De Leo VIII. gouf an engem Dag hannereneen zum Ostiarius, Lekter, Exorzist, Akolyth, Subdiakon, Diakon, Paschtouer an dunn zum Bëschof vu Roum geweit."
Wat ass mam Johannes XII. geschitt nodeem hie vum Leo VIII. ofgesat gouf?,"De Johannes XII. huet sech nees zeréck op den Troun bruecht, mä konnt awer net laang vu sengem Triumph profitéieren, well hie schonn de 14. Mee 964 gestuerwen ass.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass mam Johannes XII. geschitt nodeem hie vum Leo VIII. ofgesat gouf?

###Response: De Johannes XII. huet sech nees zeréck op den Troun bruecht, mä konnt awer net laang vu sengem Triumph profitéieren, well hie schonn de 14. Mee 964 gestuerwen ass."
Wéi gouf de Leo VIII. zum zweeten Mol zum Poopst?,"De Leo VIII. gouf zum zweeten Mol zum Poopst nodeem den Otto I. de Benedikt V. ofgesat hat, an de Leo VIII. erëm op den Troun koum.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéi gouf de Leo VIII. zum zweeten Mol zum Poopst?

###Response: De Leo VIII. gouf zum zweeten Mol zum Poopst nodeem den Otto I. de Benedikt V. ofgesat hat, an de Leo VIII. erëm op den Troun koum."
