instruction,response,text
Wat ass de hellste Stär am Dorado?,"Den α  Doradus, den hellste Stär am Dorado, ass 200 Liichtjoer vun eis ewech. De Stär liicht wäiss a gehéiert zu der Spektralklass A0 III.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass de hellste Stär am Dorado?

###Response: Den α  Doradus, den hellste Stär am Dorado, ass 200 Liichtjoer vun eis ewech. De Stär liicht wäiss a gehéiert zu der Spektralklass A0 III."
"Wat ass mam Edikt vun Nantes geschitt, nodeem den Henri IV. gestuerwen ass?","Den Edikt vun Nantes gouf leider net ""perpétuel et irrévocable"" war, wat de Louis XIV. mam Edikt vu Fontainebleau am Joer 1685 ënner Beweis stellt.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass mam Edikt vun Nantes geschitt, nodeem den Henri IV. gestuerwen ass?

###Response: Den Edikt vun Nantes gouf leider net ""perpétuel et irrévocable"" war, wat de Louis XIV. mam Edikt vu Fontainebleau am Joer 1685 ënner Beweis stellt."
Wann huet de Devolutiounskrich ugefaangen a wéi huet e geendet?,"De Devolutiounskrich huet am Fréijouer 1667 ugefaangen, wéi de Louis XIV. dem spueneschen Haff eng Deklaratioun zoukomme gelooss huet, an huet den 2. Mee 1668 geendet, wéi de Friddenstraité vun Oochen ënnerschriwwe gouf.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann huet de Devolutiounskrich ugefaangen a wéi huet e geendet?

###Response: De Devolutiounskrich huet am Fréijouer 1667 ugefaangen, wéi de Louis XIV. dem spueneschen Haff eng Deklaratioun zoukomme gelooss huet, an huet den 2. Mee 1668 geendet, wéi de Friddenstraité vun Oochen ënnerschriwwe gouf."
Wann an wou ass de Max Ophüls gestuerwen?,De Max Ophüls ass de 26. Mäerz 1957 zu Hamburg gestuerwen.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wann an wou ass de Max Ophüls gestuerwen?

###Response: De Max Ophüls ass de 26. Mäerz 1957 zu Hamburg gestuerwen."
"Wat ass mam Gebai vum Schumacher geschitt, nodeems de Policemusée do installéiert gouf?","De Policemusée vun der Asbl 'Le musée de la police grand-ducale – le gardien de la mémoire' gouf 2010 am Gebai installéiert. Mä 2017 gouf de Musée zougemaach, well d'Gebai plazeweis baufälleg ass.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat ass mam Gebai vum Schumacher geschitt, nodeems de Policemusée do installéiert gouf?

###Response: De Policemusée vun der Asbl 'Le musée de la police grand-ducale – le gardien de la mémoire' gouf 2010 am Gebai installéiert. Mä 2017 gouf de Musée zougemaach, well d'Gebai plazeweis baufälleg ass."
Wat sinn déi essenziell Aminosaieren? Nimm déi 9 Aminosaieren op.,"Déi essenziell Aminosaieren sinn: Histidin, Isoleucin, Leucin, Lysin, Methionin, Phenylalanin, Thereonin, Tryptophan a Valin.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat sinn déi essenziell Aminosaieren? Nimm déi 9 Aminosaieren op.

###Response: Déi essenziell Aminosaieren sinn: Histidin, Isoleucin, Leucin, Lysin, Methionin, Phenylalanin, Thereonin, Tryptophan a Valin."
Ginn mir d'Nimm vun de fréiere Gemenge déi 1977 fusionéiert hunn fir d'Gemeng Gouvy ze bilden.,"D'fréier Gemenge Beho, Bovigny, Cherain, Limerlé a Montleban hunn 1977 fusionéiert fir d'Gemeng Gouvy ze bilden.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir d'Nimm vun de fréiere Gemenge déi 1977 fusionéiert hunn fir d'Gemeng Gouvy ze bilden.

###Response: D'fréier Gemenge Beho, Bovigny, Cherain, Limerlé a Montleban hunn 1977 fusionéiert fir d'Gemeng Gouvy ze bilden."
Ginn mir d'Fläch vun der Polvermillen a wat Prozentsaz vum Gebitt vun der Stad Lëtzebuerg si se.,"D'Polvermillen huet eng Fläch vu 24,82 ha, wat 0,48 % vum Gebitt vun der Stad Lëtzebuerg ausmécht.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir d'Fläch vun der Polvermillen a wat Prozentsaz vum Gebitt vun der Stad Lëtzebuerg si se.

###Response: D'Polvermillen huet eng Fläch vu 24,82 ha, wat 0,48 % vum Gebitt vun der Stad Lëtzebuerg ausmécht."
Wéini huet de Victor Tedesco seng Prisongstrof ugefaangen?,No der gescheiterter Expeditioun vun Exilbelsch am Revolutiounsjoer 1848.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéini huet de Victor Tedesco seng Prisongstrof ugefaangen?

###Response: No der gescheiterter Expeditioun vun Exilbelsch am Revolutiounsjoer 1848."
Wéi vill Filmer huet d'Cinémathèque de la Ville de Luxembourg?,"D'Cinémathèque de la Ville de Luxembourg versuergt iwwer 13.000 Filmer, dorënner 10.000 Long-métragen.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéi vill Filmer huet d'Cinémathèque de la Ville de Luxembourg?

###Response: D'Cinémathèque de la Ville de Luxembourg versuergt iwwer 13.000 Filmer, dorënner 10.000 Long-métragen."
Wéi gouf de Leo VIII. zum zweeten Mol zum Poopst?,"De Leo VIII. gouf zum zweeten Mol zum Poopst nodeem den Otto I. de Benedikt V. ofgesat hat, an de Leo VIII. erëm op den Troun koum.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéi gouf de Leo VIII. zum zweeten Mol zum Poopst?

###Response: De Leo VIII. gouf zum zweeten Mol zum Poopst nodeem den Otto I. de Benedikt V. ofgesat hat, an de Leo VIII. erëm op den Troun koum."
Wat fir Concoursen organiséiert d'Musekshéichschoul Franz Liszt Weimar?,"D'Musekshéichschoul Franz Liszt Weimar organiséiert ënner anerem de 'Louis Spohr Wettbewerb' fir jonk Violonisten, den 'Internationalen Franz Liszt Wettbewerb' fir jonk Pianisten, de 'Bach-Liszt Wettbewerb' fir Uergel oder de 'Bundeswettbewerb Schulpraktisches Klavierspiel Grotrian-Steinweg' fir schoulpraktesche Piano.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat fir Concoursen organiséiert d'Musekshéichschoul Franz Liszt Weimar?

###Response: D'Musekshéichschoul Franz Liszt Weimar organiséiert ënner anerem de 'Louis Spohr Wettbewerb' fir jonk Violonisten, den 'Internationalen Franz Liszt Wettbewerb' fir jonk Pianisten, de 'Bach-Liszt Wettbewerb' fir Uergel oder de 'Bundeswettbewerb Schulpraktisches Klavierspiel Grotrian-Steinweg' fir schoulpraktesche Piano."
Wat war d'Haaptaarbechtsgebitt vum Martin Schwarzschild?,Säin Haaptaarbechtsgebitt war d'Stärenentwécklung.,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat war d'Haaptaarbechtsgebitt vum Martin Schwarzschild?

###Response: Säin Haaptaarbechtsgebitt war d'Stärenentwécklung."
Wéini ass de Mathias Thinnes an d'Pensioun gaangen?,Den 1. September 1978,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wéini ass de Mathias Thinnes an d'Pensioun gaangen?

###Response: Den 1. September 1978"
Ginn d'Geschicht vun der Kathedral Notre-Dame vu Lëtzebuerg.,"D'Kathedral Notre-Dame vu Lëtzebuerg gouf tëscht 1613 a 1621 vun de Jesuitten nieft hirer Schoul, dem Kolléisch, gebaut. Vun 1935 bis 1938 gouf si op déi haiteg Gréisst ausgebaut. Den Numm 'Notre-Dame' krut d'Kierch 1844, an deem Joer, wou och d'Maîtrise gegrënnt gouf. Zur Kathedral gouf si 1870, wéi Lëtzebuerg zu enger eegener Diözees gouf.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn d'Geschicht vun der Kathedral Notre-Dame vu Lëtzebuerg.

###Response: D'Kathedral Notre-Dame vu Lëtzebuerg gouf tëscht 1613 a 1621 vun de Jesuitten nieft hirer Schoul, dem Kolléisch, gebaut. Vun 1935 bis 1938 gouf si op déi haiteg Gréisst ausgebaut. Den Numm 'Notre-Dame' krut d'Kierch 1844, an deem Joer, wou och d'Maîtrise gegrënnt gouf. Zur Kathedral gouf si 1870, wéi Lëtzebuerg zu enger eegener Diözees gouf."
"Ginn mir den Numm vun der lëtzebuergescher Doom-Metal Band, déi am August 2012 vum Maxime Weber an Nicholas O'Connell gegrënnt gouf.",Plaguewielder,"The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Ginn mir den Numm vun der lëtzebuergescher Doom-Metal Band, déi am August 2012 vum Maxime Weber an Nicholas O'Connell gegrënnt gouf.

###Response: Plaguewielder"
Wat war den Devolutiounskrich a wéi huet e sech ofgespillt?,"Den Devolutiounskrich war e militäresche Konflikt tëscht Spuenien an dem Franséische Kinnekräich, deen 1667-1668 gedauert huet. E gouf ausgeléist, wéi de Kinnek Louis XIV. vu Frankräich Deeler vun de Spueneschen Nidderlande beusprocht huet, nodeem den spuenesche Kinnek Felipe IV. 1665 gestuerwen war. De Krich huet mat der Ënnerschrëft vum Friddenstraité vun Oochen den 2. Mee 1668 geendet, an deem Spuenien eng Rëtsch Territoiren huet missen ofginn.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat war den Devolutiounskrich a wéi huet e sech ofgespillt?

###Response: Den Devolutiounskrich war e militäresche Konflikt tëscht Spuenien an dem Franséische Kinnekräich, deen 1667-1668 gedauert huet. E gouf ausgeléist, wéi de Kinnek Louis XIV. vu Frankräich Deeler vun de Spueneschen Nidderlande beusprocht huet, nodeem den spuenesche Kinnek Felipe IV. 1665 gestuerwen war. De Krich huet mat der Ënnerschrëft vum Friddenstraité vun Oochen den 2. Mee 1668 geendet, an deem Spuenien eng Rëtsch Territoiren huet missen ofginn."
Wat waren d'Ziler vum Kinnek Louis XIV. wärend dem Devolutiounskrich?,"D'Ziler vum Kinnek Louis XIV. waren, sech territorial ze vergréisseren a seng Hegemonie an Europa ze stäerken. Hien huet argumentéiert, dass Deeler vun de Spueneschen Nidderlande him zoustoen, well seng Fra, d'Maria Teresa, dem Felipe seng Duechter war. Hien huet och probéiert, d'Spuenesch Nidderlanden opzedeelen an ze erueweren.","The following provides an instruction in form of a question.   Give a response that answers the question accurately.   

###Instruction: Wat waren d'Ziler vum Kinnek Louis XIV. wärend dem Devolutiounskrich?

###Response: D'Ziler vum Kinnek Louis XIV. waren, sech territorial ze vergréisseren a seng Hegemonie an Europa ze stäerken. Hien huet argumentéiert, dass Deeler vun de Spueneschen Nidderlande him zoustoen, well seng Fra, d'Maria Teresa, dem Felipe seng Duechter war. Hien huet och probéiert, d'Spuenesch Nidderlanden opzedeelen an ze erueweren."
