instruction,response,text,model_response
What is the brightest star in Dorado?,"α Doradus, the brightest star in Dorado, is 200 light years away from us. The star is slightly white and belongs to the spectral class A0 III.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the brightest star in Dorado? 

###Response: The α Doradus, the brightest star in the Dorado, is 200 light years away from us. The star is slightly white and belongs to the spectral class A0 III.","helpfulness:1.84375,correctness:1.6640625,coherence:3.546875,complexity:1.0078125,verbosity:0.73046875"
"What happened to the Edict of Nantes, after Henri IV. died?","The Edict of Nantes was unfortunately not ""perpétuel et irrevocable"", which Louis XIV. evidenced by the Edict of Fontainebleau in 1685.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened to the Edict of Nantes, after Henri IV. died? 

###Response: The Edict of Nantes was unfortunately not ""perpétuel et irrevocable"", which Louis XIV. evidenced by the Edict of Fontainebleau in 1685.","helpfulness:2.75,correctness:2.890625,coherence:3.765625,complexity:1.1171875,verbosity:0.4765625"
When did the devolution war start and how did it end?,"The war of devolution began in the spring of 1667, when Louis XIV. sent a declaration to the Spanish court, and ended on May 2, 1668, when the Peace Treaty of Oachen was signed.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did the devolution war start and how did it end? 

###Response: The War of Devolution began in the spring of 1667, when Louis XIV. sent a declaration to the Spanish court, and ended on May 2, 1668, when the peace treaty of Oachen was signed.","helpfulness:2.578125,correctness:2.75,coherence:3.6875,complexity:1.1171875,verbosity:0.75390625"
When and where did Max Ophüls die?,"Max Ophüls died on March 26, 1957 in Hamburg.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When and where did Max Ophüls die? 

###Response: Max Ophüls died on March 26, 1957 in Hamburg.","helpfulness:3.171875,correctness:3.21875,coherence:3.984375,complexity:0.66796875,verbosity:0.484375"
What happened to the Schumacher building after the police museum was installed there?,"The police museum of the non-profit organization 'Le musée de la police grand-ducale – le gardien de la mémoire' was installed in the building in 2010. But in 2017, the museum was closed because the building is dilapidated in places.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened to the Schumacher building after the police museum was installed there? 

###Response: The police museum of the non-profit organization 'Le musée de la police grand-ducale – le gardien de la mémoire' was installed in the building in 2010. But in 2017, the museum was closed because the building is dilapidated in places.","helpfulness:2.890625,correctness:3.078125,coherence:3.75,complexity:1.140625,verbosity:1.1640625"
What are the essential amino acids? List the 9 amino acids.,"The essential amino acids are: histidine, isoleucine, leucine, lysine, methionine, phenylalanine, thereonine, tryptophan and valine.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What are the essential amino acids? List the 9 amino acids. 

###Response: The essential amino acids are: histidine, isoleucine, leucine, lysine, methionine, phenylalanine, thereonine, tryptophan and valine.","helpfulness:3.46875,correctness:3.5625,coherence:3.859375,complexity:1.078125,verbosity:0.76953125"
Give me the names of the former municipalities that merged in 1977 to form the municipality of Gouvy.,"The former municipalities of Beho, Bovigny, Cherain, Limerlé and Montleban merged in 1977 to form the municipality of Gouvy.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the names of the former municipalities that merged in 1977 to form the municipality of Gouvy. 

###Response: The former municipalities of Beho, Bovigny, Cherain, Limerlé and Montleban merged in 1977 to form the municipality of Gouvy.","helpfulness:3.78125,correctness:3.796875,coherence:4.0,complexity:1.15625,verbosity:0.984375"
Give me the area of the Polvermillen and what percentage of the area of the city of Luxembourg is it.,"The Polvermillen has an area of 24.82 ha, which is 0.48% of the area of the city of Luxembourg.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the area of the pole mill and what percentage of the area of the city of Luxembourg is it. 

###Response: The Polvermillen has an area of 24.82 ha, which is 0.48% of the area of the city of Luxembourg.","helpfulness:2.328125,correctness:2.515625,coherence:3.84375,complexity:1.15625,verbosity:0.81640625"
When did Victor Tedesco start his prison sentence?,After the failed expedition of Exilbelsch in the revolutionary year 1848.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Victor Tedesco start his prison sentence? 

###Response: After the failed expedition of Exilbelsch in the revolutionary year 1848.","helpfulness:0.02294921875,correctness:-0.1982421875,coherence:2.78125,complexity:0.310546875,verbosity:0.27734375"
How many films does the Cinémathèque de la Ville de Luxembourg have?,"The Cinémathèque de la Ville de Luxembourg provides over 13,000 films, including 10,000 feature films.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How many films does the Cinémathèque de la Ville de Luxembourg have? 

###Response: The Cinémathèque de la Ville de Luxembourg provides over 13,000 films, including 10,000 feature films.","helpfulness:2.890625,correctness:2.859375,coherence:3.9375,complexity:0.91796875,verbosity:0.71484375"
How was Leo VIII. for the second time to the Pope?,"Leo VIII. became pope for the second time after Otto I had deposed Benedict V, and Leo VIII. came back to the throne.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How was Leo VIII. for the second time to the Pope? 

###Response: Leo VIII. became pope for the second time after Otto I had deposed Benedict V, and Leo VIII. came back to the throne.","helpfulness:0.90234375,correctness:1.1328125,coherence:3.640625,complexity:0.7109375,verbosity:0.51171875"
What kind of competitions does the Music Academy Franz Liszt Weimar organize?,"The Music Academy Franz Liszt Weimar organizes, among other things, the 'Louis Spohr Wettbewerb' for young violinists, the 'International Franz Liszt Wettbewerb' for young pianists, the 'Bach-Liszt Wettbewerb' for organ or the 'Bundeswettbewerb Schulpraktisches Klavierspiel Grotrian-Steinweg' for school practical piano.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What kind of competitions does the Music Academy Franz Liszt Weimar organize? 

###Response: The Music Academy Franz Liszt Weimar organizes, among other things, the 'Louis Spohr Competition' for young violinists, the 'International Franz Liszt Competition' for young pianists, the 'Bach-Liszt Competition' for organ or the 'Bundeswettbewerb Schulpraktisches Klavierspiel' Grotrian-Steinweg' for school practical piano.","helpfulness:2.796875,correctness:2.953125,coherence:3.65625,complexity:1.296875,verbosity:1.0078125"
What was Martin Schwarzschild's main area of work?,His main area of work was star development.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was Martin Schwarzschild's main area of work? 

###Response: His main area of work was star development.","helpfulness:2.890625,correctness:2.984375,coherence:3.90625,complexity:0.74609375,verbosity:0.296875"
When did Mathias Thinnes retire?,"On September 1, 1978","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Mathias Thinnes retire? 

###Response: September 1, 1978","helpfulness:1.0546875,correctness:0.87890625,coherence:3.484375,complexity:0.318359375,verbosity:0.193359375"
Give the history of the cathedral Notre-Dame of Luxembourg.,"The Cathedral of Notre-Dame of Luxembourg was built between 1613 and 1621 by the Jesuits next to their school, the college. From 1935 to 1938 it was expanded to its present size. The name 'Notre-Dame' was given to the church in 1844, the same year when the maîtrise was also founded. It became a cathedral in 1870, when Luxembourg became its own diocese.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give the history of the Cathedral Notre-Dame of Luxembourg. 

###Response: The Notre-Dame Cathedral of Luxembourg was built between 1613 and 1621 by the Jesuits next to their school, the college. From 1935 to 1938 it was expanded to its present size. The name 'Notre-Dame' was given to the church in 1844, the same year when the maîtrise was also founded. It became a cathedral in 1870, when Luxembourg became its own diocese.","helpfulness:2.984375,correctness:3.203125,coherence:3.734375,complexity:1.34375,verbosity:1.1875"
"Give me the name of the Luxembourgish doom metal band, which was founded in August 2012 by Maxime Weber and Nicholas O'Connell.",plague wielder,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the Luxembourgish doom metal band, which was founded in August 2012 by Maxime Weber and Nicholas O'Connell. 

###Response: Plaguewielder","helpfulness:0.7265625,correctness:0.65234375,coherence:3.15625,complexity:0.333984375,verbosity:0.16796875"
What was the devolution war and how did it play out?,"The War of Devolution was a military conflict between Spain and the Kingdom of France that lasted from 1667-1668. It was triggered when King Louis XIV. of France occupied parts of the Spanish Netherlands, after the Spanish king Felipe IV. died in 1665. The war ended with the signing of the Peace Treaty of Oachen on May 2, 1668, in which Spain had to cede a number of territories.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the devolution war and how did it play out? 

###Response: The Devolution War was a military conflict between Spain and the French Kingdom that lasted from 1667-1668. It was triggered when King Louis XIV. of France occupied parts of the Spanish Netherlands, after the Spanish king Felipe IV. died in 1665. The war ended with the signing of the Peace Treaty of Oachen on May 2, 1668, in which Spain had to cede a number of territories.","helpfulness:3.078125,correctness:3.25,coherence:3.75,complexity:1.4609375,verbosity:1.125"
What were the goals of King Louis XIV. during the devolution war?,"The goals of King Louis XIV. were to expand territorially and strengthen its hegemony in Europe. He argued that parts of the Spanish Netherlands belonged to him because his wife, Maria Teresa, was Felipe's daughter. He also tried to divide and conquer the Spanish Netherlands.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What were the goals of King Louis XIV. during the devolution war? 

###Response: The goals of King Louis XIV. were to expand territorially and strengthen its hegemony in Europe. He argued that parts of the Spanish Netherlands belonged to him because his wife, Maria Teresa, was Felipe's daughter. He also tried to divide and conquer the Spanish Netherlands.","helpfulness:3.109375,correctness:3.25,coherence:3.78125,complexity:1.25,verbosity:0.90625"
Given the date of the dedication of the cathedral.,"On December 8, 1963, Bishop Léon Lommel solemnly consecrated the cathedral.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Enter the date of the dedication of the cathedral. 

###Response: On December 8, 1963, Bishop Léon Lommel solemnly consecrated the cathedral.","helpfulness:3.15625,correctness:3.46875,coherence:3.84375,complexity:0.796875,verbosity:0.6484375"
What was the legitimacy of the Hellenistic monarchy?,"The Hellenistic monarchy was personal. This means that the king was the one who, through his own achievements, which were mostly military, and his behavior, came to the title 'Basileus' ('King'). A military victory was often the legitimate act of coming to the throne and ruling over a province or a state.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the legitimacy of the Hellenistic monarchy? 

###Response: The Hellenistic monarchy was personal. This means that the king was the one who, through his own achievements, which were mostly military, and his behavior, came to the title 'Basileus' ('King'). A military victory was often the legitimate act of coming to the throne and ruling over a province or a state.","helpfulness:2.484375,correctness:2.515625,coherence:3.515625,complexity:1.359375,verbosity:0.8828125"
When did Jean-Baptiste Kaeuffer leave his parish?,"Jean-Baptiste Kaeuffer left his parish on February 25, 1803 and returned to Echternach.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Jean-Baptiste Kaeuffer leave his parish? 

###Response: Jean-Baptiste Kaeuffer left his parish on February 25, 1803 and returned to Echternach.","helpfulness:2.484375,correctness:2.765625,coherence:3.875,complexity:0.859375,verbosity:0.671875"
When did Heinrich Rütten become the county councilor of Kreis Esch?,"On July 5, 1944.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Heinrich Rütten become the district governor of the district of Esch? 

###Response: July 5, 1944.","helpfulness:0.6875,correctness:0.8984375,coherence:3.546875,complexity:0.4296875,verbosity:0.1630859375"
What did Martin Schwarzschild along with Lyman Spitzer and James Van Allen develop?,"Together with Lyman Spitzer and James Van Allen, he developed the concept of a telescope carried into the stratosphere with a balloon.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What did Martin Schwarzschild develop together with Lyman Spitzer and James Van Allen? 

###Response: Together with Lyman Spitzer and James Van Allen, he developed the concept of a telescope carried into the stratosphere with a balloon.","helpfulness:2.9375,correctness:3.15625,coherence:3.765625,complexity:1.0546875,verbosity:0.64453125"
"Give me the name of the resistance fighter who was born on January 2, 1921 in Nassogne.",Emile Benoit,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the resistance fighter who was born on January 2, 1921 in Nassogne. 

###Response: Émile Benoit","helpfulness:2.515625,correctness:2.578125,coherence:3.84375,complexity:0.64453125,verbosity:0.337890625"
